from_city,from_station_name,from_station_id,from_latitude,from_longitude,to_city,to_station_name,to_station_id,to_latitude,to_longitude,trip_datetime,trip_price,total_seats,service_class,duration_hours,duration_minutes,office_from,office_to
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T01:55:00,400.0,49,Super Go D,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T02:31:00,585.0,56,Business Class DD,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T03:15:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T04:25:00,400.0,49,Super Go D,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T04:44:00,585.0,37,Elite Business Class M,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T06:35:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T08:31:00,400.0,49,Super Go D,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T09:00:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T13:15:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T16:00:00,620.0,14,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T19:00:00,620.0,14,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T19:35:00,585.0,56,Business Class DD,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T22:15:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T22:30:00,400.0,49,Super Go D,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T23:15:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T23:30:00,585.0,37,Elite Business Class M,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T06:15:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T07:30:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T08:30:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T10:45:00,320.0,13,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T12:15:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T14:15:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T16:15:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T19:30:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T20:15:00,320.0,13,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424,2025-12-24T23:00:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )",Smouha
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T05:31:00,275.0,56,Business Class DD,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T07:47:00,275.0,37,Elite Business Class M,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T09:01:00,210.0,49,Super Go D,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T10:30:00,210.0,49,Super Go D,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T11:45:00,210.0,49,Super Go D,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T13:15:00,210.0,49,Super Go D,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T14:30:00,275.0,37,Elite Business Class M,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T18:30:00,275.0,56,Business Class DD,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Moharam BK,18,31.1917,29.9187,2025-12-24T20:50:00,210.0,49,Super Go D,0,180,Cairo | Tahrir,Alex - Moharam BK
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T06:15:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T07:30:00,320.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T08:30:00,320.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T10:45:00,335.0,13,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T12:15:00,320.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T14:15:00,320.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T16:15:00,305.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T19:30:00,320.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T20:15:00,320.0,13,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Alexandria,Miami,145,31.2725,30.0126,2025-12-24T23:00:00,320.0,14,GoMini,6,180,"Abdel-Moneim Reyad Squer, ( Tahrir )","Miami, 45 St."
Cairo,tahrir,8,30.0445,31.2357,Marsa Matrouh,Marsa Matrouh,68,31.3543,27.2373,2025-12-24T00:55:00,455.0,13,GoMini,6,300,"Abdel-Moneim Reyad Squer, ( Tahrir )",Marsa Matrouh Main Office
Cairo,tahrir,8,30.0445,31.2357,Marsa Matrouh,Marsa Matrouh,68,31.3543,27.2373,2025-12-24T01:40:00,455.0,13,GoMini,6,300,"Abdel-Moneim Reyad Squer, ( Tahrir )",Marsa Matrouh Main Office
Cairo,tahrir,8,30.0445,31.2357,Marsa Matrouh,Marsa Matrouh,68,31.3543,27.2373,2025-12-24T04:40:00,445.0,14,GoMini,6,300,"Abdel-Moneim Reyad Squer, ( Tahrir )",Marsa Matrouh Main Office
Cairo,tahrir,8,30.0445,31.2357,Marsa Matrouh,Marsa Matrouh,68,31.3543,27.2373,2025-12-24T06:40:00,455.0,13,GoMini,6,300,"Abdel-Moneim Reyad Squer, ( Tahrir )",Marsa Matrouh Main Office
Cairo,tahrir,8,30.0445,31.2357,Marsa Matrouh,Marsa Matrouh,68,31.3543,27.2373,2025-12-24T08:40:00,455.0,13,GoMini,6,300,"Abdel-Moneim Reyad Squer, ( Tahrir )",Marsa Matrouh Main Office
